id,name,category,package,layer,num_inputs,num_outputs,num_options,tags
cs_news,Cross-Sectional News,DataSource,News,3,0,3,6,news; data-source; cross-sectional; reference; sentiment; headlines; sector-news; peer-news; multi-ticker; macro-news; competitor-tracking
news,News,DataSource,News,3,0,3,6,news; data-source; sentiment; headlines; articles; nlp; text-analysis; media; press-release; market-news; corporate-announcement; sentiment-score; news-driven
cppi,CPPI,Executor,Execution,3,0,0,2,sizing; dynamic; insurance; cppi; sink; portfolio-insurance; downside-protection; cushion; black-jones; deleveraging; floor-protection; dynamic-allocation
kelly,Kelly,Executor,Execution,3,0,0,3,sizing; dynamic; kelly; optimal; sink; kelly-criterion; edge-based; growth-optimal; half-kelly; fractional-kelly; win-rate; payoff-ratio
long_and_short_zone,Long & Short Zone,Executor,Execution,3,2,1,3,zone; long; short; dual; state-based; trade; hold; pead; signal-executor; position-management; holding-period; entry-signal; direction; momentum-trigger; event-hold
optimal_f,Optimal f,Executor,Execution,3,0,0,3,sizing; dynamic; optimal-f; vince; sink; ralph-vince; twr; geometric-growth; max-loss-normalized; empirical-sizing
position_size,Position Size,Executor,Execution,3,2,1,1,sizing; position-size; sink; dynamic-sizing; weight; notional; unit-sizing; equity-percent; allocation
risk_unit,Risk Unit,Executor,Execution,3,4,3,8,sizing; risk; stop-loss; take-profit; position-size; sink; atomic; fx; pips; risk-per-trade; fixed-fractional; r-multiple; risk-reward; risk-based-sizing; contract-multiplier
rollover_policy,Rollover Policy,Executor,Execution,3,1,1,0,executor; futures; rollover; contract; roll-detection; front-month; position-liquidation; continuous-futures; expiry; contract-switch; futures-continuation
stop_loss,Stop Loss,Executor,Execution,3,1,1,1,exit; stop-loss; risk-management; sink; fixed-stop; atr-stop; percentage-stop; capital-preservation; risk-control; protective-stop; disaster-stop; distance-based
take_profit,Take Profit,Executor,Execution,3,2,2,3,exit; take-profit; tiered; sink; r-multiple; tiered-exit; partial-exit; profit-target; reward-target; scaling-out; multi-level
tipp,TIPP,Executor,Execution,3,0,0,2,sizing; dynamic; insurance; tipp; ratchet; sink; ratcheting-floor; estep-kritzman; high-water-mark; portfolio-insurance; downside-protection; dynamic-allocation
trailing_stop,Trailing Stop,Executor,Execution,3,2,2,1,exit; trailing-stop; dynamic; sink; chandelier-exit; atr-trailing; dynamic-stop; profit-protection; trend-following-exit; stepped-trailing; activation-distance; ratcheting-stop
price_profile,Price Profile,Indicator,Compute,3,4,6,5,volume; profile; market-structure; support-resistance; microstructure; tpo; market-profile; poc; value-area; initial-balance; auction-theory; fair-value
dbscan,DBSCAN,ML,MachineLearning,3,1,3,6,dbscan; ml; clustering; anomaly; adaptive
hmm,Hidden Markov Model,ML,MachineLearning,3,1,2,7,hmm; hmm; ml; sequence; probabilistic; regime; rolling
kmeans,K-Means Clustering,ML,MachineLearning,3,1,2,6,kmeans; ml; clustering; adaptive; regime
lightgbm_classifier,LightGBM Classifier,ML,MachineLearning,3,2,2,12,lightgbm; ml; classification; adaptive
lightgbm_regressor,LightGBM Regressor,ML,MachineLearning,3,2,1,12,lightgbm; ml; regression; adaptive
logistic_l1,Logistic L1,ML,MachineLearning,3,2,3,6,liblinear; ml; classification; l1; lasso
logistic_l2,Logistic L2,ML,MachineLearning,3,2,3,6,liblinear; ml; classification; l2; ridge
ml_minmax,ML Min-Max,ML,MachineLearning,3,1,1,4,preprocessing; ml; normalization; minmax
ml_robust,ML Robust,ML,MachineLearning,3,1,1,4,preprocessing; ml; normalization; robust
ml_zscore,ML Z-Score,ML,MachineLearning,3,1,1,4,preprocessing; ml; normalization; zscore
pca,PCA,ML,MachineLearning,3,1,2,5,pca; ml; decomposition; factor; adaptive
svr_l1,SVR L1,ML,MachineLearning,3,2,1,6,liblinear; ml; regression; l1; svr
svr_l2,SVR L2,ML,MachineLearning,3,2,1,6,liblinear; ml; regression; l2; svr
arg_minmax,ArgMinMax (Timestamps),Math,Compute,3,1,2,1,argmin; argmax; timestamp; location; expanding; cumulative; tuple; peak-trough; range; high-low; min-max-timing
cs_momentum,Cross-Sectional Momentum,Momentum,Compute,3,1,1,1,indicator; cross-sectional; momentum; relative-performance; multi-asset; portfolio-rotation; jegadeesh-titman; relative-strength; winner-loser; market-momentum; universe-return; breadth
fisher,Fisher Transform,Momentum,Compute,3,2,2,1,indicator; fisher; transform; oscillator
msw,Mesa Sine Wave,Momentum,Compute,3,1,2,1,indicator; msw; cycle; sine-wave
qqe,Quantitative Qualitative Estimation (QQE),Momentum,Compute,3,1,4,3,indicator; momentum; qqe; rsi-based; smoothed-rsi; volatility-bands; trend-following; signal-generation; oscillator; adaptive-bands; fibonacci; atr-based; entry-exit
black_litterman,Black-Litterman,Portfolio,PortfolioAllocation,3,1,1,7,allocation; weight; black-litterman; bayesian; optimization; cross-sectional; portfolio
equal_weight,Equal Weight,Portfolio,PortfolioAllocation,3,1,1,1,allocation; weight; equal-weight; cross-sectional; portfolio
herc,Hierarchical Equal Risk Contribution,Portfolio,PortfolioAllocation,3,1,1,7,allocation; weight; herc; hierarchical; clustering; erc; cross-sectional; portfolio
hrp,Hierarchical Risk Parity,Portfolio,PortfolioAllocation,3,1,1,5,allocation; weight; hrp; hierarchical; clustering; cross-sectional; portfolio
inv_vol_weight,Inverse Volatility Weight,Portfolio,PortfolioAllocation,3,2,1,2,allocation; weight; inverse-volatility; risk-parity; cross-sectional; portfolio
max_diversification,Maximum Diversification,Portfolio,PortfolioAllocation,3,1,1,4,allocation; weight; diversification; optimization; cross-sectional; portfolio
max_sharpe,Maximum Sharpe Ratio,Portfolio,PortfolioAllocation,3,1,1,6,allocation; weight; max-sharpe; tangency; optimization; cross-sectional; portfolio
min_cvar,Minimum CVaR,Portfolio,PortfolioAllocation,3,1,1,5,allocation; weight; cvar; tail-risk; optimization; cross-sectional; portfolio
min_semivariance,Minimum Semivariance,Portfolio,PortfolioAllocation,3,1,1,5,allocation; weight; semivariance; downside-risk; optimization; cross-sectional; portfolio
min_variance,Minimum Variance,Portfolio,PortfolioAllocation,3,1,1,4,allocation; weight; min-variance; optimization; cross-sectional; portfolio
risk_budgeting,Risk Budgeting,Portfolio,PortfolioAllocation,3,2,1,4,allocation; weight; risk-budgeting; optimization; cross-sectional; portfolio
risk_parity,Risk Parity,Portfolio,PortfolioAllocation,3,1,1,6,allocation; weight; risk-parity; erc; cross-sectional; portfolio; optimization
bos_choch,Break of Structure & Change of Character,PriceAction,SMC,3,6,4,1,smc; price-action; market-structure; technical; trend; reversal
fair_value_gap,Fair Value Gap,PriceAction,SMC,3,4,4,1,smc; price-action; gap; imbalance; technical; institutional-zones
liquidity,Liquidity,PriceAction,SMC,3,4,4,1,smc; price-action; liquidity; technical; cluster; stop-hunt
order_blocks,Order Blocks,PriceAction,SMC,3,6,6,1,smc; price-action; order-block; institutional; technical; support-resistance
previous_high_low,Previous High Low,PriceAction,SMC,3,2,4,2,smc; price-action; high-low; technical; breakout; intraday
retracements,Retracements,PriceAction,SMC,3,4,3,0,smc; price-action; retracement; fibonacci; technical; pullback
swing_highs_lows,Swing Highs and Lows,PriceAction,SMC,3,2,2,1,smc; price-action; swing; pivot; technical; market-structure
boxplot,Boxplot - ONE PER ASSET,Reporter,Distributions,3,2,0,28,report; chart; boxplot; box-and-whisker; distribution; statistics; visualization; quartile; percentile; median; iqr; interquartile; outlier; outliers; spread; dispersion; variability; range; five-number-summary; grouped; side-by-side; dashboard
bubble,Bubble Chart - ONE PER ASSET,Reporter,Scatter,3,3,0,15,report; chart; bubble; visualization; 3d; three-dimensional; size; multi-factor; risk-return; volatility; xyz; weighted; magnitude; portfolio; exposure; dimensional-analysis
cs_bars,Cross-Sectional Bars - ONE FOR ALL ASSETS,Reporter,Bars,3,3,0,29,report; chart; bar; cross-sectional; comparison; ranking; multi-asset
cs_boxplot,Cross-Sectional Boxplot - ONE FOR ALL ASSETS,Reporter,Distributions,3,1,0,30,report; chart; boxplot; box-and-whisker; distribution; statistics; visualization; cross-sectional; comparison; ranking; multi-asset; quartile; percentile; median; iqr; interquartile; outlier; outliers; spread; dispersion; variability; range; five-number-summary; asset-comparison; universe; dashboard
cs_bubble,Cross-Sectional Bubble Chart - ONE FOR ALL ASSETS,Reporter,Scatter,3,2,0,16,report; chart; bubble; cs-bubble; visualization; cross-sectional; 3d; comparison; asset-comparison; magnitude; size; multi-asset; temporal; time-series; volatility; activity
cs_gauge,Cross-Sectional Gauge - ONE FOR ALL ASSETS,Reporter,Cards,3,1,0,12,report; chart; gauge; kpi; metric; single-value; indicator; speedometer; dashboard; cross-sectional; market-wide; composite; sentiment
cs_heatmap,Cross-Sectional Heatmap - ONE FOR ALL ASSETS,Reporter,Heatmaps,3,1,0,18,report; chart; heatmap; correlation; visualization; cross-sectional; matrix; pairwise; diversification; risk; multi-asset; correlation-matrix; comparison; color-coded; grid
cs_histogram,Cross-Sectional Histogram - ONE FOR ALL ASSETS,Reporter,Distributions,3,1,0,18,report; chart; histogram; distribution; visualization; cross-sectional; comparison; multi-asset; overlay; frequency; bins; spread; shape
cs_labeled_bubble,Cross-Sectional Labeled Bubble - ONE FOR ALL ASSETS,Reporter,Scatter,3,3,0,19,report; chart; bubble; cs-bubble; visualization; cross-sectional; labeled; comparison; asset-comparison; factor; aggregation; multi-asset; xyz-plot; data-labels; size-encoded
cs_labeled_lines,Cross-Sectional Labeled Lines - ONE FOR ALL ASSETS,Reporter,Lines,3,1,0,15,report; chart; lines; cs-lines; visualization; cross-sectional; labeled; categorical; comparison; asset-comparison; multi-asset; yield-curve; term-structure; profile; data-labels
cs_labeled_scatter,Cross-Sectional Labeled Scatter - ONE FOR ALL ASSETS,Reporter,Scatter,3,2,0,19,report; chart; scatter; cs-scatter; visualization; cross-sectional; labeled; comparison; asset-comparison; factor; aggregation; multi-asset; point-cloud; xy-plot; correlation; data-labels
cs_lines,Cross-Sectional Lines - ONE FOR ALL ASSETS,Reporter,Lines,3,2,0,25,report; chart; line; cross-sectional; comparison; aggregation
cs_pie,Cross-Sectional Pie Chart - ONE FOR ALL ASSETS,Reporter,Cards,3,1,0,7,report; chart; pie; donut; composition; proportion; allocation; breakdown; part-of-whole; dashboard; cross-sectional; multi-asset; allocation
cs_scatter,Cross-Sectional Scatter - ONE FOR ALL ASSETS,Reporter,Scatter,3,2,0,16,report; chart; scatter; cs-scatter; visualization; cross-sectional; comparison; asset-comparison; factor; cluster; ranking; aggregation; multi-asset; point-cloud; xy-plot; correlation; relationship
cs_summary_table,Cross-Sectional Summary Table - ONE FOR ALL ASSETS,Reporter,Tables,3,1,0,8,report; table; cross-sectional; comparison; multi-asset
gauge,Gauge Chart - ONE PER ASSET,Reporter,Cards,3,1,0,12,report; chart; gauge; kpi; metric; single-value; indicator; speedometer; dashboard
heatmap,Heatmap - ONE PER ASSET,Reporter,Heatmaps,3,4,0,19,report; chart; heatmap; visualization; matrix; grid; color-coded; seasonality; calendar; monthly-returns; pattern; density; dashboard
histogram,Histogram - ONE PER ASSET,Reporter,Distributions,3,1,0,16,report; chart; histogram; distribution; visualization; frequency; bins; binning; spread; shape; skew; skewness; kurtosis; fat-tail; tail-risk; density; grouped; bucketed; range; count; occurrences
labeled_bubble,Labeled Bubble - ONE PER ASSET,Reporter,Scatter,3,1,0,15,report; chart; bubble; visualization; labeled; xyz-plot; data-points; individual-labels; size-encoded
labeled_lines,Labeled Lines - ONE PER ASSET,Reporter,Lines,3,1,0,11,report; chart; lines; visualization; labeled; categorical; yield_curve; term-structure
labeled_scatter,Labeled Scatter - ONE PER ASSET,Reporter,Scatter,3,1,0,15,report; chart; scatter; visualization; labeled; correlation; point-cloud; xy-plot; data-points; individual-labels
pie,Pie Chart - ONE PER ASSET,Reporter,Cards,3,2,0,5,report; chart; pie; donut; composition; proportion; allocation; breakdown; part-of-whole; dashboard
summary_table,Summary Table - ONE PER ASSET,Reporter,Tables,3,1,0,4,report; table; summary; grid
xy_bars,XY Bars - ONE PER ASSET,Reporter,Bars,3,3,0,25,report; chart; bar; grouped; stacked; categorical; column-chart; dashboard
xy_lines,XY Lines - ONE PER ASSET,Reporter,Lines,3,4,0,22,report; chart; line; dashboard
xy_scatter,XY Scatter - ONE PER ASSET,Reporter,Scatter,3,2,0,14,report; chart; scatter; xy-scatter; visualization; correlation; relationship; bivariate; point-cloud; regression; factor-exposure; multi-series; marker; xy-plot; data-points; trend; pattern; outlier; association
cs_factor_analysis,Cross-Sectional Factor Analysis,Statistical,Compute,3,2,4,3,cross-sectional; factor; ic; information-coefficient; t-stat; ir; research; alpha-research; grinold-kahn; fundamental-law; alphalens; factor-decay; signal-evaluation; spearman; pearson; kendall
cs_first_last,Cross-Sectional First/Last,Statistical,Compute,3,1,2,1,cross-sectional; first; last; selection; multi-asset; boundary; tuple-output; range
cs_rank_quantile,Cross-Sectional Rank Quantile,Statistical,Compute,3,1,1,1,cross-sectional; ranking; percentile; quantile; factor; normalized-rank; uniform-score; multi-factor; composite
engle_granger,Engle-Granger Cointegration,Statistical,Compute,3,2,9,3,cointegration; pairs-trading; hedge-ratio; spread; engle-granger; statistics; nobel-prize; ols-regression; mean-reversion; spread-construction; two-step-test; residual-stationarity; long-run-equilibrium
finance_ratio,Financial Ratio,Statistical,Compute,3,18,1,2,fundamentals; ratios; financial-analysis; valuation
frac_diff,Fractional Differentiation (FFD),Statistical,Compute,3,1,1,2,statistics; stationarity; memory; fracdiff; ffd; machine-learning; feature-engineering; lopez-de-prado; aifml; differentiation; time-series-transform; predictive-memory; unit-root-removal; fixed-width-window; ml-preprocessing
half_life_ar1,Half-Life AR(1),Statistical,Compute,3,1,3,1,cointegration; mean-reversion; pairs-trading; half-life; ar1; statistics; ornstein-uhlenbeck; speed-of-reversion; holding-period; position-sizing; spread-analysis; exit-timing; autoregressive
johansen,Johansen Cointegration,Statistical,Compute,3,1,6,5,cointegration; johansen; vecm; multivariate; statistics; trace-test; max-eigenvalue; cointegrating-rank; basket-trading; triangular-arbitrage; multi-asset-spread; eigenvalue-decomposition
kalman_filter,Kalman Filter,Statistical,Compute,3,1,9,5,kalman; filter; state-space; trend; noise
linear_fit,Linear Fit (Rolling OLS),Statistical,Compute,3,2,3,1,statistics; regression; ols; linear; pairs-trading; hedge-ratio
multi_linear_fit,Multi-Linear Fit (Multi-Factor Regression),Statistical,Compute,3,2,4,2,statistics; regression; ols; multi-factor; fama-french; factor-exposure; alpha
rolling_adf,Rolling ADF Test,Statistical,Compute,3,1,6,4,cointegration; stationarity; unit-root; adf; statistics; mackinnon; dickey-fuller; hypothesis-test; time-series; mean-reversion-test; spread-monitoring; regime-detection; p-value
rolling_arima,Rolling ARIMA Forecast,Statistical,Compute,3,1,7,12,arima; forecast; rolling; walk-forward; adaptive
winsorize,Winsorize (Time-Series),Statistical,Compute,3,1,1,2,outliers; normalization; robust; statistics; time-series; percentile-clipping; outlier-handling; data-cleaning; preprocessing; winsorization; tail-clipping
zscore,Z-Score,Statistical,Compute,3,1,1,1,indicator; statistics; normalization; standardization
alligator,Bill Williams Alligator,Trend,Compute,3,1,3,4,indicator; trend; bill-williams; alligator; smma; wilder-smoothing; trend-identification; ranging-market; trending-market; triple-ma; moving-average; entry-timing; momentum-confirmation
di,Directional Indicator,Trend,Compute,3,3,2,1,indicator; di; trend; directional-indicator
dm,Directional Movement,Trend,Compute,3,2,2,1,indicator; dm; trend; directional-movement
vidya,Variable Index Dynamic Average,Trend,Compute,3,1,1,3,overlay; vidya; moving-average; variable-index
vortex,Vortex Indicator,Trend,Compute,3,3,2,1,indicator; trend; vortex; vi-plus; vi-minus; trend-strength; trend-direction; crossover; dual-line; botes-siepman; momentum; trend-reversal; ohlc-based
datetime_diff,Datetime Difference,Utility,Compute,3,2,1,1,datetime; difference; duration; temporal; elapsed-time; recency; staleness; lag; holding-period; dte; days-to-expiry; event-study; pead; time-since; settlement; distance; interval; age
datetime_extract,Datetime Extract,Utility,Compute,3,1,1,2,datetime; calendar; temporal; timezone; extract; year; month; day; hour; quarter; day-of-week; week; leap-year; seasonal; intraday; session; weekday-effect; anomaly; component; iso
keyword_count,Keyword Count,Utility,NLP,3,1,1,1,nlp; text; keyword; count; frequency; integer; density; intensity; attention; disclosure; 10-k; md-and-a; fomc; risk-mentions; normalization; sparse; forward-fill
keyword_score,Keyword Score,Utility,NLP,3,1,1,1,nlp; text; keyword; score; weighted; decimal; sentiment; severity; polarity; loughran-mcdonald; risk-scoring; custom-dictionary; alpha; ic; weighting; bull-bear; tone; negation-blind
string_case,String Case,Utility,NLP,3,1,1,1,string; text; case; uppercase; lowercase
string_trim,String Trim,Utility,NLP,3,1,1,2,string; text; trim; whitespace; clean
topic_classify,Topic Classify,Utility,NLP,3,1,1,1,nlp; text; classify; topic; category; string; categorization; routing; thematic; esg; earnings; legal; mna; macro; deterministic; interpretable; audit; compliance; news-routing
acceleration_bands,Acceleration Bands,Volatility,Compute,3,3,3,2,indicator; volatility; bands; acceleration-bands; price-envelope; breakout; overbought-oversold; range-based; adaptive-bands; volatility-envelope; support-resistance; channel
chande_kroll_stop,Chande Kroll Stop,Volatility,Compute,3,3,2,3,indicator; volatility; trailing-stop; chande-kroll; atr-based; risk-management; exit-strategy; adaptive-stop; trend-following; position-management; stop-loss; dynamic-exit
chandelier_exit,Chandelier Exit,Volatility,Compute,3,3,3,4,volatility; trailing-stop; atr; exit; trend; lebeau; position-management; risk-management; volatility-stop
elders_thermometer,Elder's Market Thermometer,Volatility,Compute,3,2,4,3,indicator; volatility; elders-thermometer; alexander-elder; market-activity; true-range; ema-smoothed; buy-sell-signals; temperature-reading; activity-measure; range-based; signal-generation
rolling_garch,Rolling GARCH Volatility,Volatility,Compute,3,1,7,10,garch; volatility; rolling; walk-forward; adaptive
volatility_estimator,Volatility Estimator,Volatility,Compute,3,4,1,3,indicator; volatility; risk; technical; range-based; ohlc; garman-klass; parkinson; yang-zhang; hodges-tompkins; annualized; realized-volatility; position-sizing; options-pricing; risk-management
