source_pdf,pdf_date,page,image_file,width,height,format,text_above,text_below,nearest_heading,staging_path,page_image,classified,title,slug,insight
AMFX   Recession For and Against  23NOV22 (1).pdf,2022-11-23,6,page_06_img_00.jpeg,508,1038,jpeg,,https://thatsmaths.com/2015/09/10/holbeins-anamorphic-skull/,,amfx___recession_for_and_against__23nov22_1/page_06_img_00.jpeg,amfx___recession_for_and_against__23nov22_1/page_06.png,decorative,Holbein's Anamorphic Skull - Optical Illusion Art,holbein-anamorphic-skull-optical-illusion,"This is a historical artistic optical illusion demonstrating anamorphic perspective, used as a decorative visual reference in the financial newsletter rather than analytical content."
AMFX   Recession For and Against  23NOV22 (1).pdf,2022-11-23,6,page_06_img_01.jpeg,705,695,jpeg,,https://thatsmaths.com/2015/09/10/holbeins-anamorphic-skull/,,amfx___recession_for_and_against__23nov22_1/page_06_img_01.jpeg,amfx___recession_for_and_against__23nov22_1/page_06.png,decorative,Holbein's The Ambassadors with Anamorphic Skull,holbein-ambassadors-anamorphic-skull,"Renaissance painting featuring an optical illusion skull, used as a decorative historical reference rather than financial analysis content."
AMFX 01APR22.pdf,2022-04-01,1,page_01_img_00.jpeg,438,328,jpeg,"12-minute read, 3000 words 
 
 
I grew up in a home where money was not plentiful. There was enough money to pay 
the bills but going out for dinner meant Ponderosa or Frank Vetere’s, and family holidays 
involved lots of driving and Super 8 motels. Sometimes my mom had to say “no” to a 
school field trip because it was too expensive. That kind of thing. My early experiences 
with scarcity (and exposure to financial abundance later in my childhood) are an 
important part of the adult I am today. 
 
I recently came across some research by Matthew Killingsworth of Wharton which 
pushes back against conventional wisdom about money vs. happiness. You can read 
the full paper here. Or a brief summary article here. Here is the abstract:",Cheese-dusted corn triangles are,"12-minute read, 3000 words ",amfx_01apr22/page_01_img_00.jpeg,amfx_01apr22/page_01.png,skip,Corrupted or unclear image of food item,corrupted-food-image,Image is too degraded or unclear to serve analytical purposes in a financial newsletter context.
AMFX 01APR22.pdf,2022-04-01,1,page_01_img_01.png,516,407,png,vanishing due to shrinkflation,,vanishing due to shrinkflation,amfx_01apr22/page_01_img_01.png,amfx_01apr22/page_01.png,chart,"Income and Emotional Well-being: Ladder, Positive Affect, Stress-Free, and Not Blue",income-emotional-wellbeing-ladder-affect,"This chart demonstrates that while overall life satisfaction ('Ladder') increases with annual income, specific positive emotions and stress-free states show diminishing returns, suggesting wealth's complex relationship with emotional well-being."
AMFX 01APR22.pdf,2022-04-01,2,page_02_img_00.jpeg,582,504,jpeg,,"Mean levels of experienced well-being (real-time feeling reports on a good–bad continuum) 
and evaluative well-being (overall life satisfaction) for each income band. Income axis is log transformed.",,amfx_01apr22/page_02_img_00.jpeg,amfx_01apr22/page_02.png,chart,Well-Being and Life Satisfaction by Household Income,well-being-life-satisfaction-income-analysis,"Both experienced well-being and life satisfaction increase with household income, with a notable acceleration in life satisfaction gains after the $75,000 income threshold."
AMFX 01APR22.pdf,2022-04-01,2,page_02_img_01.jpeg,547,282,jpeg,"Figure includes only data from people who completed both measures. 
 
Note that both charts use log for the x-axis; increased income has a diminishing impact on happiness. This is all 
superficially interesting and maybe it’s useful to know the aggregate or average relationship between money and 
happiness within a country or society. On the other hand, I think this is a bit like when you put one foot in a freezing 
cold bucket of water and one foot in a boiling hot bucket of water and take the average. Sometimes averages don’t 
mean much. 
 
The only thing that matters to me or to you is the shape of our personal money/happiness curve in isolation. The shape 
and slope of an individual’s money/happiness curve is determined by many factors including the person’s ambition, 
values, and morality, plus their cost of living, social status, number of children, and so on. The aggregate curves don’t 
matter much or mean much at all. 
 
I have always been interested in the empirical relationship between money and happiness because I think it’s a topic 
that is underexamined in a world where we are pathologically driven towards overconsumption by various societal 
forces. With advertising, societal norms, social media, consumer culture, and even friends and family often pushing us 
to “succeed” in ways measured on a financial scoreboard, it’s important for each individual to understand the shape of 
their own money/happiness curve and pursue what they want, not what society says they want. 
 
North American society in the 1980s was blatantly materialistic and few asked “how much is enough?”","Restraint and anti-consumerism 
are more in the zeitgeist now as 
the world is less materialistic than 
it was back when I was growing 
up. The 80s were a time when 
debaucherous, over-the-top hair 
bands like RATT and Mötley Crüe 
were Top 10 radio, Gordon Gekko 
was an idol, and bumper stickers 
and front plates like this one were displayed unironically. 
 
A tactic that can help you survive the still-relentless onslaught of advertising 
and its worrisome ability to plant pointless desires in your subconscious 
mind, is to spend time thinking about the shape of your personal 
money/happiness curve. This will help you stay off the hedonic treadmill that 
makes us instinctively strive for more and more money.",Figure includes only data from people who completed both measures. ,amfx_01apr22/page_02_img_01.jpeg,amfx_01apr22/page_02.png,decorative,He Who Dies With The Most Toys Wins - 1980s Bumper Sticker Meme,materialistic-bumper-sticker-80s-meme,A satirical representation of 1980s materialism used to illustrate the cultural context of overconsumption that the author contrasts with modern anti-consumerism values.
AMFX 01APR22.pdf,2022-04-01,2,page_02_img_02.jpeg,500,490,jpeg,"Figure includes only data from people who completed both measures. 
 
Note that both charts use log for the x-axis; increased income has a diminishing impact on happiness. This is all 
superficially interesting and maybe it’s useful to know the aggregate or average relationship between money and 
happiness within a country or society. On the other hand, I think this is a bit like when you put one foot in a freezing 
cold bucket of water and one foot in a boiling hot bucket of water and take the average. Sometimes averages don’t 
mean much. 
 
The only thing that matters to me or to you is the shape of our personal money/happiness curve in isolation. The shape 
and slope of an individual’s money/happiness curve is determined by many factors including the person’s ambition, 
values, and morality, plus their cost of living, social status, number of children, and so on. The aggregate curves don’t 
matter much or mean much at all. 
 
I have always been interested in the empirical relationship between money and happiness because I think it’s a topic 
that is underexamined in a world where we are pathologically driven towards overconsumption by various societal 
forces. With advertising, societal norms, social media, consumer culture, and even friends and family often pushing us 
to “succeed” in ways measured on a financial scoreboard, it’s important for each individual to understand the shape of 
their own money/happiness curve and pursue what they want, not what society says they want. 
 
North American society in the 1980s was blatantly materialistic and few asked “how much is enough?”",2,Figure includes only data from people who completed both measures. ,amfx_01apr22/page_02_img_02.jpeg,amfx_01apr22/page_02.png,decorative,Madonna Material Girl Vinyl Record Label,madonna-material-girl-vinyl-record,A vintage 45 RPM vinyl record of Madonna's 'Material Girl' used as a visual metaphor in the financial newsletter's discussion about materialism and the relationship between money and happiness in 1980s North American society.
AMFX 01APR22.pdf,2022-04-01,3,page_03_img_00.jpeg,1536,1152,jpeg,"I grew up in a lower middle-class family, in the second house from the top in this row of five attached houses.","Photo circa 1980-something, courtesy of the Donnelly Archives 
 
We had enough money to live normally and not worry about cash but when there was a school trip to Europe or 
whatever… No chance. There was no extra money, just the necessary amount. 
 
Meanwhile, my godparents successfully created and sold an advertising agency and retired when they were 40 years 
old. They had one child, and to keep her company (she was my age), they used to take me on their two-week-long trips 
to the Caribbean every March. While flying to the Caribbean in 2022 is a mainstream, middle-class activity for many, it 
was the height of luxury in the 1980s. Average families weren’t whipping off to the DR back then1. I got to see a whole 
different world of opportunity and awesomeness. “I want that!” I thought. 
 
A fridge with a button you can press to get water!??! I want that! 
A basketball hoop and net, right on your driveway? I want that!","I grew up in a lower middle-class family, in the second house from the top in this row of five attached houses.",amfx_01apr22/page_03_img_00.jpeg,amfx_01apr22/page_03.png,decorative,"Childhood home row houses, circa 1980s",donnelly-childhood-home-photo-1980s,Personal photograph illustrating the author's lower middle-class upbringing and the contrast that shaped his perspective on wealth and opportunity.
AMFX 01APR22.pdf,2022-04-01,5,page_05_img_00.jpeg,640,557,jpeg,"Guns ‘n Roses, Pretty Tied Up, 1991 
 
So far, this piece is about the broader question of money vs. happiness. Now, let’s connect the dots to trading. 
 
Think about your history (childhood and young adult years especially) and how it might influence your trading 
performance. For example: if your dad was an electrician and your mom was an entrepreneur… Your subconscious 
might have trouble with the idea that in trading you magically pull money out of thin air without any traditional hard 
work and without producing or creating anything4. You might find your subconscious repeatedly sabotages you in an 
effort to divest what it perceives as ill-gotten gains. 
 
Many traders from blue-collar families struggle with this when they first find success. It is a strange and sometimes 
surreal feeling to generate huge income without producing anything. Trading is not the only job where this is the case, 
but the sometimes sudden and gigantic income streams from trading make it different from most other professions. 
 
Believe it or not, there is more to life than trading. Think about the long game and your entire career. While it is fun to 
trade all night and live a fast and exciting life, you cannot do that forever. Trading on its own does not offer a path to 
happiness, no matter how much money you rake in. Financial freedom is one facet of happiness. Most research shows 
true happiness comes from: Health, relationships, family, friends, and a feeling of purpose.","While it might feel like your P&L ups and down are a matter of life and death—they are not. Traders spend way too 
much time thinking about P&L and money and all the things it might mean to them. Focus on trading when you are at 
work and focus on relationships and activities you love when you are not.","Guns ‘n Roses, Pretty Tied Up, 1991 ",amfx_01apr22/page_05_img_00.jpeg,amfx_01apr22/page_05.png,decorative,The Fulfillment Curve - Money vs Happiness Diagram,fulfillment-curve-money-happiness,"A conceptual diagram illustrating that fulfillment peaks at the 'Comforts' level and diminishes with excessive spending, used to support the article's argument that money alone does not guarantee happiness and traders should balance financial pursuits with relationships and purpose."
AMFX 01APR22.pdf,2022-04-01,7,page_07_img_00.jpeg,1149,862,jpeg,Try Premium Free for 1 Month,"Average weight of a Dorito: 0.08 ounces 
 
Old Dorito bag size: 9.75 ounces 
 
New Dorito bag size (same price): 9.25 ounces 
 
 
 
Cheese-dusted corn triangles lost to shrinkflation: 5 
 
 
 
 
https://www.newsweek.com/not-your-imagination-doritos-bag-has-5-fewer-chips-due-shrinkflation-1689450",Try Premium Free for 1 Month,amfx_01apr22/page_07_img_00.jpeg,amfx_01apr22/page_07.png,decorative,Dorito Chip - Shrinkflation Example,dorito-chip-shrinkflation-visual,"A physical example of a single Dorito chip used to illustrate the concept of shrinkflation, where manufacturers reduce product size while maintaining prices."
AMFX 02AUG23.pdf,2023-08-02,1,page_01_img_00.png,580,290,png,US Unemployment Rate (x-axis) vs. US Budget Deficit,The Baskin Robbins logo,US Unemployment Rate (x-axis) vs. US Budget Deficit,amfx_02aug23/page_01_img_00.png,amfx_02aug23/page_01.png,decorative,Baskin Robbins Logo,baskin-robbins-logo,"A branded logo image used as a decorative or illustrative element in the newsletter, likely referencing ice cream or consumer spending in the context of unemployment and budget deficit discussion."
AMFX 02AUG23.pdf,2023-08-02,1,page_01_img_01.png,911,662,png,US Unemployment Rate (x-axis) vs. US Budget Deficit,The figure looks complicated but it’s pretty simple:,US Unemployment Rate (x-axis) vs. US Budget Deficit,amfx_02aug23/page_01_img_01.png,amfx_02aug23/page_01.png,chart,US Unemployment Rate vs Budget Deficit by Decade (1970s-2020s),us-unemployment-budget-deficit-scatter-plot,"Scatter plot showing the historical relationship between unemployment and budget deficit across different decades, highlighting how current 2020s monetary policy diverges from orthodox Keynesian economics by maintaining stimulus despite low unemployment."
AMFX 02AUG23.pdf,2023-08-02,2,page_02_img_00.png,702,337,png,API Crude Oil Inventory Data for 2023,API Crude Oil Inventory Data 2018 to now,API Crude Oil Inventory Data for 2023,amfx_02aug23/page_02_img_00.png,amfx_02aug23/page_02.png,chart,API Crude Oil Inventory Data for 2023,api-crude-oil-inventory-2023,"Bar chart showing weekly API crude oil inventory changes throughout 2023, with significant swings ranging from +10.5 million barrels in February to -15.4 million barrels in August."
AMFX 02AUG23.pdf,2023-08-02,2,page_02_img_01.png,719,349,png,API Crude Oil Inventory Data 2018 to now,"This data, if confirmed by the DoE today, 
buttresses the idea that the current rally in 
energy prices is more about organic levels of 
supply and demand in the real world. It’s not 
just financial speculators piling in as we saw all 
those other times. 
 
Meanwhile, yesterday’s data came out weaker 
than I expected, though the guts were decent 
enough to keep yields firm. At right is the chart 
of ISM Manufacturing vs. New Orders and the 
blue line is basing similar to the US S&P 
Manufacturing PMI. Certainly not an all clear, 
but it does look like manufacturing has at least 
stabilized in the USA.",API Crude Oil Inventory Data 2018 to now,amfx_02aug23/page_02_img_01.png,amfx_02aug23/page_02.png,chart,API Crude Oil Inventory Data 2018 to Present,api-crude-oil-inventory-2018-present,"This line chart tracks API crude oil inventory levels from 2018 to the present, showing volatility around the zero baseline that helps contextualize whether current energy price rallies are driven by organic supply-demand dynamics rather than financial speculation."
AMFX 02AUG23.pdf,2023-08-02,2,page_02_img_02.png,911,662,png,API Crude Oil Inventory Data 2018 to now,2,API Crude Oil Inventory Data 2018 to now,amfx_02aug23/page_02_img_02.png,amfx_02aug23/page_02.png,chart,US Manufacturing PMI vs. New Orders (2010-2022),us-manufacturing-pmi-vs-new-orders,"This chart compares the NAPM PMI Index (overall manufacturing activity) with the NAPM New Orders Index, showing that new orders (blue line) typically lead and exceed the overall PMI, with both indices declining sharply during the 2020 COVID crisis and recent 2022 downturn."
AMFX 02AUG23.pdf,2023-08-02,3,page_03_img_00.jpeg,841,505,jpeg,"Crude oil, 2022 to now","We have been 63.50/83.50 all year and thus if we can close above 84 (which I think we will soon), the new range becomes 
83.50/93.50. And look at that textbook bull flag in RBOB! Inflation is not dead.","Crude oil, 2022 to now",amfx_02aug23/page_03_img_00.jpeg,amfx_02aug23/page_03.png,chart,Crude Oil Price Chart 2022 to 2023 with Support/Resistance Levels,crude-oil-price-chart-2022-2023,"This chart shows crude oil's price movement from 2022 through mid-2023, highlighting key support/resistance zones at $63.50/$83.50 and a potential breakout above $84 that would establish a new trading range of $83.50/$93.50, with annotations indicating a bullish flag pattern in RBOB gasoline."
AMFX 02AUG23.pdf,2023-08-02,3,page_03_img_01.jpeg,643,386,jpeg,RBOB in 2023: Topside bull flag break will target $3.20,Final Thoughts,RBOB in 2023: Topside bull flag break will target $3.20,amfx_02aug23/page_03_img_01.jpeg,amfx_02aug23/page_03.png,chart,USD/GLL Exchange Rate with Bull Flag Pattern - August 2023,usd-gll-bull-flag-pattern-aug-2023,"This price chart shows the USD/GLL exchange rate from December 2022 through August 2023, highlighting a bullish flag breakout pattern that the analyst projects will target 3.20 based on technical analysis."
AMFX 02AUG23.pdf,2023-08-02,3,page_03_img_02.png,490,232,png,"I am headed to Maine tomorrow for Camp Kotok. My report from last year is here. As I’m going to be away, and I 
have no strong view on payrolls, I think it’s appropriate to square up the EUR puts at some point today. I remain 
bullish USD overall on seasonality, positioning, and still-widening rate differentials, but I feel like the thesis has kinda 
played out in GBP and EUR at this point and thus it makes sense to get flat, especially as I have no strong lean on 
NFP. Finally, it’s healthy to be flat while out of town. Helps you come back fresh. The trade made a bit of money, but 
the move was too slow and there were too many big countertrend spikes for it to deliver ginormous returns. As was 
the case with the much-better GBP short, spot would have been better than an option. 
 
Fun flashback:",good luck ⇅ be nimble,"I am headed to Maine tomorrow for Camp Kotok. My report from last year is here. As I’m going to be away, and I ",amfx_02aug23/page_03_img_02.png,amfx_02aug23/page_03.png,decorative,Frank Chaparro Tweet on SBF's Net Worth,frank-chaparro-sbf-net-worth-tweet,"A social media screenshot of a tweet comparing Sam Bankman-Fried's worth to other notable figures, used as a historical reference point in the newsletter."
AMFX 02AUG23.pdf,2023-08-02,4,page_04_img_00.jpeg,921,391,jpeg,,The BMW logo features the pattern of the Bavarian flag. At the time of BMW's formation there was,,amfx_02aug23/page_04_img_00.jpeg,amfx_02aug23/page_04.png,decorative,BMW Logo and Bavarian Flag Pattern,bmw-logo-bavarian-flag,"Educational image explaining the historical connection between BMW's logo design and the Bavarian flag pattern, used as contextual content in the newsletter."
AMFX 02AUG23.pdf,2023-08-02,4,page_04_img_01.png,580,290,png,Motor Works – similarly reflects the pro-independence mood.,The Tostitos logo features two friends dipping the product in salsa,Motor Works – similarly reflects the pro-independence mood.,amfx_02aug23/page_04_img_01.png,amfx_02aug23/page_04.png,decorative,Tostitos Brand Logo,tostitos-tortilla-chips-logo,"Brand logo image used as a decorative reference in the financial newsletter, unrelated to market analysis or financial data."
AMFX 09FEB24.pdf,2024-02-09,1,page_01_img_00.jpeg,438,328,jpeg,(212) 398-6230,"Foreword by Ben Hunt 
 
There’s a line that I like to use when I give a speech these days. First I pull 
out my iPhone and show it to the audience. I call it my ‘dopamine 
machine’. Then I say: 
 
“The last thing I look at when I go to sleep at night is my smartphone. The 
first thing I look at when I wake up in the morning is my smartphone.” 
[pause] “Not my wife. My smartphone.” 
 
It’s a good line and it usually hits the audience effectively, meaning that 
it packs a punch but in a good-natured, tap-you-on-shoulder sort of way. 
It’s effective because it shows the audience my own vulnerability – my 
own addiction – but within the familiar confines of a long-term marriage, 
and it invites the audience to recognize the pathology that most of them 
share with me, but in a ‘safe’ way.  
 
Recently, though, I’ve been wrestling with both the glibness of my 
presentation and the easy chuckle of the response. I mean, I’m 59 years-
old and I have plenty of functional ‘addictions’, mostly in my relationship 
with food, but also in my relationship with game-playing, story-telling 
and the modalities through which these games and stories are presented 
to me. A smartphone is one of these modalities – a very powerful one – 
and yes, I am functionally addicted to it, but … you know … get in line. 
 
It’s not that “I can stop anytime I want”, because I really can’t. It’s more 
that at this stage of my life I’m pretty much playing the hand I’ve been 
dealt. That’s not being fatalistic and like everyone else I’m making 
incremental self-improvements wherever I can. But the fact is that I like 
the central course my life is on and these functional addictions are 
tangential to that central course, a central course that was formed away 
from and prior to the mind-warping power of social media and 
smartphones.",(212) 398-6230,amfx_09feb24/page_01_img_00.jpeg,amfx_09feb24/page_01.png,decorative,Children with smartphones and devices,children-smartphones-addiction-illustration,"Image illustrating smartphone addiction among young people, used to support the foreword's discussion about dopamine addiction and technology dependency across generations."
AMFX 09FEB24.pdf,2024-02-09,1,page_01_img_01.jpeg,438,286,jpeg,(212) 398-6230,Current Views,(212) 398-6230,amfx_09feb24/page_01_img_01.jpeg,amfx_09feb24/page_01.png,skip,Blurry phone screen in dark environment,blurry-phone-screen-dark,Image is too blurry and low contrast to extract any financial data or meaningful content.
AMFX 09FEB24.pdf,2024-02-09,2,page_02_img_00.png,1147,601,png,"“Give your kids social media when you want their childhood to end.” 
 
     
  
Anon 
 
We live in the age of polycrisis. A seemingly endless list of grave challenges has emerged in this new millennium with 
deaths of despair, political polarization, financial instability, economic bifurcation, global war, an obesity epidemic, rising 
p(doom) from AI, climate change, and more. Sure, some if this is just “history happening” as Niall Ferguson puts it, but 
anyone who has lived both the 1990s and the 2020s can plainly see all is not well. While the 1990s were particularly 
harmonious and happy, the 2020s are particularly dissonant and dark.","Slides used with the permission of Bruce Mehlman. Click here to subscribe to his Substack, it’s great.",“Give your kids social media when you want their childhood to end.” ,amfx_09feb24/page_02_img_00.png,amfx_09feb24/page_02.png,chart,"United States Polycrisis: Natural Disasters, Illegal Immigration, Drug Overdose Deaths, and Federal Debt (1980-2028)",us-polycrisis-disasters-immigration-overdoses-debt,"This multi-panel visualization illustrates interconnected crises in the US including rising natural disaster costs, illegal immigration encounters, drug overdose deaths reaching 111,900 in 2023, and federal debt projected to reach $34.9T by 2028."
AMFX 09FEB24.pdf,2024-02-09,4,page_04_img_00.jpeg,1112,727,jpeg,"13D Research: How does technology rewire 
the intricate circuitry of the teenage mind?",Image: Adobe Stock,13D Research: How does technology rewire ,amfx_09feb24/page_04_img_00.jpeg,amfx_09feb24/page_04.png,decorative,Teenager Using Smartphone at Night,teen-smartphone-usage-technology-impact,"This image illustrates the pervasive use of technology by teenagers, supporting the article's discussion on how technology affects teenage brain development and behavior."
AMFX 09FEB24.pdf,2024-02-09,5,page_05_img_00.jpeg,723,436,jpeg,"We have written at length on how the prevalence of portable technology and the ease 
of access it provides to social media platforms are associated with heightened levels of 
teen depression and anxiety. A new study conducted by Seoul’s Hanyang University 
Medical Center analyzed data on more than 50,000 teens. They found that teens who use 
their smartphones excessively are 66% more likely to report substance use and 22% more 
likely to contemplate suicide than their peers.[1]",Image: Adobe Stock,We have written at length on how the prevalence of portable technology and the ease ,amfx_09feb24/page_05_img_00.jpeg,amfx_09feb24/page_05.png,decorative,Teen Mental Health and Smartphone Addiction,teen-depression-smartphone-use-illustration,"This image illustrates the psychological distress associated with excessive smartphone use among teenagers, complementing research showing links between device dependency and increased depression, anxiety, and substance use risk."
AMFX 09FEB24.pdf,2024-02-09,6,page_06_img_00.png,1600,1154,png,"As demonstrated by the figure below, researchers have identified a direct correlation 
between smartphone use and worsening mental well-being:",Source: PLOS One,"As demonstrated by the figure below, researchers have identified a direct correlation ",amfx_09feb24/page_06_img_00.png,amfx_09feb24/page_06.png,chart,Correlation Between Smartphone Usage and Mental Health Outcomes,smartphone-usage-mental-health-correlation,"The figure demonstrates a direct correlation between daily smartphone usage and worsening mental health indicators including stress perception, sleep dissatisfaction, depressive symptoms, suicidal ideation, substance use, and smartphone overdependence."
AMFX 09FEB24.pdf,2024-02-09,7,page_07_img_00.png,1600,1118,png,,Source: Sapien Labs,,amfx_09feb24/page_07_img_00.png,amfx_09feb24/page_07.png,chart,Mental wellbeing in young adulthood (ages 18-24) improves with older age of first smartphone,mental-wellbeing-smartphone-age-young-adults,Young adults who received their first smartphone at older ages show significantly better mental health outcomes (higher MHQ scores and lower distress rates) compared to those who obtained smartphones at younger ages.
