id,name,url,status,linked_definitions,url_slug,subscription,has_qc_code,keywords,market_factors,instruments,regions,rebalancing,complexity,confidence,crisis_hedge,paper_perf,paper_vol,paper_sharpe,paper_max_dd,paper_start,paper_end,oos_perf_inception,oos_vol_inception,oos_sharpe_inception,oos_max_dd,oos_start,oos_end,correlation,linear_issue,notes
#0011,Stock Return Reversal within Industries,https://quantpedia.com/strategies/stock-return-reversal-within-industries,IN_REVIEW,"stock_reversal_within_sectors_research.json,stock_reversal_within_sectors_strategy.json",stock-return-reversal-within-industries,Premium,Yes,stock picking; reversal; equity long short,Equities,Stocks,United States,Monthly,Complex,Strong,Yes,16.78,12.91,1.3,-44.93,1968.0,2010.0,0.4,15.071725964453416,0.0265397606712992,-49.97509054414088,2000.0,2025.0,0.2339356937578241,ENG-566,
#0012,Pairs Trading with Stocks,https://quantpedia.com/strategies/pairs-trading-with-stocks,INELIGIBLE,,pairs-trading-with-stocks,Free,Yes,equity long short; pairs trading; arbitrage,Equities,Stocks,United States,Daily,Complex,Strong,Yes,11.16,5.85,1.22,-17.0,1962.0,2002.0,3.8,7.732648995301731,0.4914227973245438,-20.62475628722528,2010.0,2025.0,0.1397321420188337,ENG-25,
#0013,Short Term Reversal Effect in Stocks,https://quantpedia.com/strategies/short-term-reversal-in-stocks,ELIGIBLE,ENG-28,short-term-reversal-in-stocks,Free,Yes,stock picking; reversal; equity long short; factor investing; smart beta,Equities,Stocks,Global,Weekly,Complex,Strong,Yes,16.25,14.94,1.09,-52.94,1990.0,2009.0,16.1,24.91571555010002,0.6461785120169014,-46.55524886285486,2000.0,2025.0,0.1894589469073091,,
#0014,Momentum Factor Effect in Stocks,https://quantpedia.com/strategies/momentum-factor-effect-in-stocks,ELIGIBLE,,momentum-factor-effect-in-stocks,Free,Yes,momentum; stock picking; momentum in stocks; factor investing; smart beta,Equities,Stocks,United States,Monthly,Complex,Strong,No,8.3,16.6,0.5,-87.41,1927.0,2013.0,-2.0,26.032394960584192,-0.0768273531124666,-86.8813926405964,2000.0,2025.0,-0.2440123983583397,ENG-29,
#0015,Momentum Factor Effect in Country Equity Indexes,https://quantpedia.com/strategies/momentum-factor-effect-in-country-equity-indexes,ELIGIBLE,ENG-30,momentum-factor-effect-in-country-equity-indexes,Free,Yes,momentum; rotational system; country picking; factor investing; smart beta,Equities,ETFs; Funds,United States,Monthly,Simple,Strong,No,17.7,,,-65.39,1968.0,2009.0,5.1,21.70392569584481,0.2349805317006033,-65.39318928417337,2000.0,2025.0,0.792958317547579,,
#0016,Reversal Effect in International Equity ETFs,https://quantpedia.com/strategies/mean-reversion-effect-in-country-equity-indexes,ELIGIBLE,,mean-reversion-effect-in-country-equity-indexes,Free,Yes,rotational system; reversal; country picking; factor investing; smart beta,Equities,ETFs; Funds,United States,3 Years,Simple,Weak,No,6.4,,,-80.98,1969.0,1995.0,-4.6,18.86315814237251,-0.2438616039414403,-80.96943731401535,2003.0,2025.0,-0.0961219570743525,ENG-31,
#0017,Momentum Effect in Anomalies/Trading Systems,https://quantpedia.com/strategies/momentum-effect-in-anomalies-trading-systems,ELIGIBLE,,momentum-effect-in-anomalies-trading-systems,Premium,Yes,momentum; factor investing; smart beta; factor allocation,Equities,ETFs; Funds; Stocks,Global,Yearly,Simple,Strong,Unknown,13.76,,,-33.28,1972.0,2008.0,4.8,22.315654869548418,0.2150956370341612,-40.04280345327523,2011.0,2025.0,0.2965441008037634,ENG-32,
#0018,Liquidity Effect in Stocks,https://quantpedia.com/strategies/liquidity-effect-in-stocks,ELIGIBLE,ENG-33,liquidity-effect-in-stocks,Premium,Yes,stock picking; equity long short; liquidity risk premium; factor investing; smart beta,Equities,Stocks,United States,Yearly,Complex,Strong,No,6.68,11.87,0.56,-79.86,1972.0,2011.0,-0.8,17.931663215556068,-0.0446138202788676,-70.71259226377511,2005.0,2025.0,-0.2154753601739714,,
#0019,Dividend Month Anomaly,https://quantpedia.com/strategies/dividend-month-anomaly,IN_REVIEW,,dividend-month-anomaly,Prime,Yes,seasonality; stock picking; factor investing; smart beta,Equities,Stocks,United States,Monthly,Complex,Strong,Partially,17.9,20.0,0.7,-56.02,1927.0,2009.0,8.8,18.030951446915523,0.488049675354507,-55.66521461179399,2000.0,2025.0,0.941618899806322,ENG-27,
#0020,Volatility Risk Premium Effect,https://quantpedia.com/strategies/volatility-risk-premium-effect,INELIGIBLE,,volatility-risk-premium-effect,Free,Yes,volatility effect; volatility premium; factor investing; smart beta,Equities,Futures; Swaps; Options,Global,Monthly,Moderate,Strong,No,26.0,19.0,1.16,-24.07,1986.0,1995.0,10.9,15.79287370343963,0.6901847127179913,-37.44428491470503,2012.0,2025.0,0.8913096357837716,ENG-26,
#0021,Momentum Effect in Commodities,https://quantpedia.com/strategies/momentum-effect-in-commodities,ELIGIBLE,,momentum-effect-in-commodities,Free,Yes,momentum; rotational system; factor investing; smart beta,Commodities,Futures; CFDs,Global,Monthly,Simple,Strong,Yes,14.6,25.57,0.57,-79.75,1979.0,2004.0,2.4,25.52753657261508,0.0940161222832062,-85.0569891740697,2000.0,2025.0,-0.0884310148654962,ENG-43,
#0022,Term Structure Effect in Commodities,https://quantpedia.com/strategies/term-structure-effect-in-commodities,INELIGIBLE,,term-structure-effect-in-commodities,Free,Yes,rotational system; term spread; factor investing; smart beta,Commodities,Futures,Global,Monthly,Simple,Strong,No,11.73,23.84,0.49,-78.06,1979.0,2004.0,1.8,26.31577257178148,0.0684000439314538,-45.75019034208749,2009.0,2025.0,-0.0335572642933387,ENG-44,
#0023,Momentum Effect Combined with Term Structure in Commodities,https://quantpedia.com/strategies/momentum-effect-combined-with-term-structure-in-commodities,INELIGIBLE,,momentum-effect-combined-with-term-structure-in-commodities,Premium,Yes,momentum; rotational system; term spread; factor investing; smart beta,Commodities,Futures,Global,Monthly,Simple,Strong,Partially,21.8,27.6,0.79,-83.35,1979.0,2004.0,-1.1,32.34805034457893,-0.034005140596807,-80.46763821077508,2009.0,2025.0,-0.0050192032852818,ENG-44,
#0024,Merger Arbitrage,https://quantpedia.com/strategies/merger-arbitrage,INELIGIBLE,,merger-arbitrage,Premium,No,equity long short; arbitrage; factor investing; smart beta,Equities,ETFs; Stocks,Global,Daily,Complex,Strong,No,6.86,4.72,0.61,,1998.0,2010.0,,,,,,,ENG-46,,
#0025,Size Factor - Small Capitalization Stocks Premium,https://quantpedia.com/strategies/small-capitalization-stocks-premium-anomaly,ELIGIBLE,,small-capitalization-stocks-premium-anomaly,Free,Yes,stock picking; equity long short; small cap; factor investing; smart beta,Equities,Stocks,United States,Yearly,Complex,Moderate,No,6.1,25.6,0.24,-39.68,1926.0,2017.0,2.9,9.845024372369238,0.2945650401982809,-36.47869794047841,2000.0,2025.0,-0.1255315731547995,ENG-50,
#0026,Value (Book-to-Market) Factor,https://quantpedia.com/strategies/value-book-to-market-factor,IN_REVIEW,"value_book_to_market_research.json,value_book_to_market_strategy.json",value-book-to-market-factor,Free,Yes,stock picking; value; fundamental analysis; factor investing; smart beta,Equities,Stocks,United States,Monthly,Complex,Strong,No,3.6,12.02,0.3,-55.99,1926.0,2014.0,8.6,18.362487601204904,0.468346129716961,-60.39648418761694,2000.0,2025.0,-0.1935088670243349,ENG-570,
#0027,Market Timing with Aggregate and Idiosyncratic Stock Volatilities,https://quantpedia.com/strategies/market-timing-with-aggregate-and-idiosyncratic-stock-volatilities,ELIGIBLE,,market-timing-with-aggregate-and-idiosyncratic-stock-volatilities,Premium,Yes,market timing; volatility effect,Equities,ETFs; Funds; Futures; CFDs,Global,Quarterly,Complex,Strong,No,20.07,37.8,0.43,-9.29,1968.0,2004.0,1.6,3.459275491216089,0.4625245962811505,-7.084682887940774,2003.0,2025.0,-0.6356131910330426,ENG-59,
#0028,Value and Momentum Factors across Asset Classes,https://quantpedia.com/strategies/value-and-momentum-factors-across-asset-classes,ELIGIBLE,ENG-100,value-and-momentum-factors-across-asset-classes,Free,Yes,momentum; asset class picking; value; factor investing; smart beta,Equities; Bonds; REITs,ETFs; Funds; Futures,Global,Monthly,Simple,Strong,Yes,11.9,10.0,0.79,,1986.0,2007.0,,,,,,,,,
#0030,Timing Commodities and S&P500 with COT Report,https://quantpedia.com/strategies/timing-commodities-and-sp500-with-cot-report,INELIGIBLE,ENG-116,timing-commodities-and-sp500-with-cot-report,Premium,Yes,asset class picking; market timing; sentiment trading; alternative data,Equities; Commodities,ETFs; Funds; Futures; CFDs,Global,Weekly,Very Complex,Strong,Partially,16.8,10.3,1.24,-27.36,2000.0,2006.0,4.1,11.641734101576644,0.352181209794573,-27.480769877842924,2008.0,2025.0,0.4693620703166351,,
#0031,Market Seasonality Effect in World Equity Indexes,https://quantpedia.com/strategies/market-seasonality-effect-in-world-equity-indexes,ELIGIBLE,ENG-139,market-seasonality-effect-in-world-equity-indexes,Free,Yes,market timing; seasonality,Equities,ETFs; Funds; Futures; CFDs,Global,6 Months,Simple,Weak,Partially,8.8,,,-36.58,1970.0,2003.0,5.5,13.890475154787072,0.3959547775516185,-36.57776045940059,1999.0,2025.0,0.7301200891069781,,
#0032,Combining Seasonality and Momentum in US Equity Sectors,https://quantpedia.com/strategies/combining-seasonality-and-momentum-in-us-equity-sectors,IN_REVIEW,"sector_seasonality_momentum_research.json,sector_seasonality_momentum_strategy.json",combining-seasonality-and-momentum-in-us-equity-sectors,Premium,Yes,momentum; rotational system; sector picking; seasonality; equity long short,Equities,ETFs; Funds,United States,Monthly,Moderate,Weak,Yes,12.9,17.0,0.52,,1970.0,2008.0,10.6281,20.2555,0.6005,-34.4347,2010.0,2024.0,,ENG-144,
#0033,Post-Earnings Announcement Effect,https://quantpedia.com/strategies/post-earnings-announcement-effect,ELIGIBLE,ENG-158,post-earnings-announcement-effect,Free,Yes,stock picking; equity long short; fundamental analysis; earnings announcement; factor investing; smart beta,Equities,Stocks,United States,Quarterly,Complex,Strong,Unknown,15.0,,,-11.2,1987.0,2004.0,0.7,3.8484183303931,0.1818929076581178,-11.692870528947385,2011.0,2025.0,0.1962191350582451,,
#0034,Post-Loss/Profit Announcement Drift in Stocks,https://quantpedia.com/strategies/post-loss-profit-announcement-drift-in-stocks,IN_REVIEW,"post_earnings_drift_research.json,post_earnings_drift_strategy.json",post-loss-profit-announcement-drift-in-stocks,Premium,Yes,stock picking; equity long short; fundamental analysis; earnings announcement; trading earnings; factor investing; smart beta,Equities,Stocks,United States,Daily,Complex,Strong,Yes,26.0,5.0,4.4,-34.67,1976.0,2005.0,2.2,9.560559779714126,0.2301120489480149,-27.610314041897663,2005.0,2025.0,0.0601250421407477,ENG-571,Weak IC (0.003-0.009) with DJIA30. Strategy shows flat/negative returns 2015-2024. May need larger universe or anomaly weakened.
#0035,Insiders Trading Effect in Stocks,https://quantpedia.com/strategies/insiders-trading-effect-in-stocks,INELIGIBLE,ENG-160,insiders-trading-effect-in-stocks,Premium,Yes,stock picking; equity long short; insiders trading effect; alternative data; factor investing; smart beta,Equities,Stocks,United States,Yearly,Complex,Moderate,Unknown,7.7,,,-37.85,1976.0,1995.0,-5.5,24.915906304861007,-0.2207425221745584,-42.38996025069312,2021.0,2025.0,-0.1477030401296775,,
#0036,Net Payout Yield Effect,https://quantpedia.com/strategies/net-payout-yield-effect,ELIGIBLE,ENG-162,net-payout-yield-effect,Free,Yes,stock picking; value; fundamental analysis; factor investing; smart beta,Equities,Stocks,United States,Yearly,Complex,Strong,No,22.13,,,-52.5,1984.0,2003.0,9.4,17.566578436723002,0.5351070519429818,-54.36048042021155,2000.0,2025.0,0.9574627622206614,,
#0037,Net Current Asset Value Effect,https://quantpedia.com/strategies/net-current-asset-value-effect,ELIGIBLE,ENG-164,net-current-asset-value-effect,Free,Yes,stock picking; value; fundamental analysis; factor investing; smart beta,Equities,Stocks,Europe,Yearly,Moderate,Strong,No,31.19,,,-76.86,1980.0,2005.0,30.0,27.24285518965217,1.101206161804769,-65.97408214381494,2000.0,2025.0,0.6454286416606265,,
#0038,Accrual Anomaly,https://quantpedia.com/strategies/accrual-anomaly,ELIGIBLE,ENG-165,accrual-anomaly,Free,Yes,stock picking; equity long short; fundamental analysis; accruals effect; factor investing; smart beta,Equities,Stocks,United States,Yearly,Complex,Weak,Unknown,7.5,10.26,0.34,-35.58,1966.0,2003.0,-0.7,15.107797328813762,-0.0463336901313172,-38.806389009853845,2007.0,2025.0,0.127581713035444,,
#0039,Market Timing with Aggregate Accruals,https://quantpedia.com/strategies/market-timing-with-aggregate-accruals,ELIGIBLE,ENG-168,market-timing-with-aggregate-accruals,Premium,Yes,market timing; accruals effect,Equities,ETFs; Funds; Futures; CFDs,Global,Yearly,Moderate,Strong,Unknown,34.0,37.7,0.8,-49.67,1980.0,2005.0,3.6,33.512539265729544,0.1074224776420155,-73.22714210879772,2011.0,2025.0,0.4054315448637253,,
#0040,High-Frequency Arbitrage with ETF Twins,https://quantpedia.com/strategies/high-frequency-arbitrage-with-etf-twins,INELIGIBLE,ENG-176,high-frequency-arbitrage-with-etf-twins,Premium,Yes,equity long short; pairs trading; arbitrage,Equities,ETFs,Global,Intraday,Very Complex,Moderate,Partially,28.91,14.69,1.7,,2004.0,2010.0,,,,,,,,,
#0041,Turn of the Month in Equity Indexes,https://quantpedia.com/strategies/turn-of-the-month-in-equity-indexes,ELIGIBLE,ENG-169,turn-of-the-month-in-equity-indexes,Free,Yes,market timing; seasonality,Equities,ETFs; Funds; Futures; CFDs; Options,United States,Daily,Simple,Strong,Unknown,7.2,6.9,1.04,-20.79,1926.0,2005.0,6.2,10.833923922006724,0.572276494152416,-20.78897331123818,1998.0,2025.0,0.570957824627159,,
#0042,Alpha Cloning - Following 13F Fillings,https://quantpedia.com/strategies/alpha-cloning-following-13f-fillings,INELIGIBLE,ENG-177,alpha-cloning-following-13f-fillings,Free,Yes,stock picking; alternative data,Equities,Stocks,Global,Quarterly,Moderate,Strong,No,20.21,,,,1991.0,2005.0,,,,,,,,,
#0043,Gold Market Timing,https://quantpedia.com/strategies/gold-market-timing,ELIGIBLE,ENG-170,gold-market-timing,Prime,Yes,market timing,Commodities,ETFs; Funds; Futures,Global,Monthly,Simple,Moderate,Unknown,31.0,29.63,0.91,-45.32,1968.0,2005.0,3.2,14.051115999055948,0.2277399176133055,-45.37685591951642,2004.0,2025.0,0.0336445769624244,,
#0044,Paired Switching,https://quantpedia.com/strategies/paired-switching,ELIGIBLE,ENG-171,paired-switching,Free,Yes,momentum; asset class picking; rotational system; market timing; fund picking,Equities; Bonds,ETFs; Funds; Stocks,Global,Quarterly,Simple,Strong,Partially,11.3,9.3,0.78,-18.41,1991.0,2011.0,8.9,12.644560271826371,0.7038599847422365,-22.257561906842803,2004.0,2025.0,0.6306544259157816,,
#0045,Short Interest Effect - Long-Short Version,https://quantpedia.com/strategies/short-interest-effect-long-short-version,IN_REVIEW,"short_interest_effect_research.json,short_interest_effect_strategy.json",short-interest-effect-long-short-version,Free,Yes,stock picking; equity long short; factor investing; smart beta,Equities,Stocks,United States,Monthly,Moderate,Moderate,Unknown,19.7,17.14,0.92,-30.23,1988.0,2005.0,-0.11,9.44,-0.011944405,-30.23,,,,ENG-569,
#0046,Short Interest Effect - Long Only version,https://quantpedia.com/strategies/short-interest-effect-long-only-version,ELIGIBLE,ENG-173,short-interest-effect-long-only-version,Free,Yes,stock picking; factor investing; smart beta,Equities,Stocks,United States,Monthly,Complex,Strong,No,26.8,,,-33.29,1988.0,2005.0,18.4,18.98324256313617,0.969275925269544,-31.823584279416817,2018.0,2025.0,0.9493636926201356,,
#0047,Changes in Long Term Rates Predict FX Rates,https://quantpedia.com/strategies/changes-in-long-term-rates-predict-fx-rates,ELIGIBLE,ENG-174,changes-in-long-term-rates-predict-fx-rates,Premium,Yes,FX anomaly; forex system,Currencies,Futures; CFDs; Forwards; Swaps,Global,Monthly,Moderate,Moderate,Unknown,5.92,3.67,0.52,-37.4,1975.0,2009.0,-1.1,6.803250464685128,-0.1616874177586097,-37.40036009590111,2000.0,2025.0,-0.0906942760728973,,
#0048,Term Spread Predicts FX Rates,https://quantpedia.com/strategies/term-spread-predicts-fx-rates,ELIGIBLE,ENG-175,term-spread-predicts-fx-rates,Premium,Yes,FX anomaly; forex system; factor investing; smart beta,Currencies,Futures; CFDs; Forwards; Swaps,Global,Monthly,Moderate,Moderate,Unknown,6.66,3.94,0.68,-50.6,1975.0,2009.0,-0.4,8.77598395495318,-0.0455789347443188,-49.80045154280452,2000.0,2025.0,0.0132241894667768,,
#0049,S&P 500 Index Addition Effect,https://quantpedia.com/strategies/sp-500-index-addition-effect,ELIGIBLE,ENG-209,sp-500-index-addition-effect,Premium,Yes,stock picking,Equities,Stocks,Global,Daily,Simple,Moderate,No,114.0,,,,1993.0,2002.0,,,,,,,,,
#0050,FED Model,https://quantpedia.com/strategies/fed-model,IN_REVIEW,"fed_model_research.json,fed_model_strategy.json",fed-model,Free,Yes,asset class picking; market timing,Equities; Bonds,ETFs; Funds; Futures,Global,Monthly,Moderate,Moderate,Partially,11.0,10.0,0.7,-50.3,1959.0,2003.0,8.2,17.34317296199038,0.472808523444428,-50.30555892523878,2000.0,2025.0,0.907735903266658,ENG-568,
#0051,Momentum - Short Term Reversal Strategy,https://quantpedia.com/strategies/momentum-short-term-reversal-strategy,ELIGIBLE,ENG-180,momentum-short-term-reversal-strategy,Premium,Yes,momentum; stock picking; reversal; equity long short; momentum in stocks; factor investing; smart beta,Equities,Stocks,United States,Monthly,Complex,Strong,Unknown,26.0,17.64,1.25,-74.16,1965.0,2009.0,0.2,21.262379834736503,0.0094062847881806,-65.52999712377712,2000.0,2025.0,-0.2106059228532036,,
#0052,Asset Growth Effect,https://quantpedia.com/strategies/asset-growth-effect,ELIGIBLE,ENG-181,asset-growth-effect,Free,Yes,stock picking; equity long short; fundamental analysis; factor investing; smart beta,Equities,Stocks,United States,Yearly,Moderate,Strong,Unknown,20.84,14.07,1.2,-31.37,1968.0,2006.0,2.1,7.313958301939976,0.2871222275690292,-26.283611081993296,2001.0,2025.0,0.0240126061028737,,
#0053,Sentiment and Style Rotation Effect in Stocks,https://quantpedia.com/strategies/sentiment-and-style-rotation-effect-in-stocks,ELIGIBLE,ENG-182,sentiment-and-style-rotation-effect-in-stocks,Premium,Yes,rotational system; market timing; stock picking; equity long short; fundamental analysis; sentiment trading; factor allocation,Equities,Stocks,United States,Monthly,Complex,Strong,No,22.84,,,,1987.0,2006.0,,,,,,,,,
#0054,Momentum and State of Market (Sentiment) Filters,https://quantpedia.com/strategies/momentum-and-state-of-market-sentiment-filters,ELIGIBLE,ENG-184,momentum-and-state-of-market-sentiment-filters,Prime,Yes,momentum; market timing; stock picking; equity long short; momentum in stocks; sentiment trading; factor investing; smart beta,Equities,Stocks,United States,Monthly,Complex,Strong,No,13.2,9.4,0.98,-63.04,1925.0,1995.0,3.9,18.665497105190383,0.2089416626849714,-62.664077085442784,2000.0,2025.0,0.0725242383703838,,
#0055,Pairs Trading with Country ETFs,https://quantpedia.com/strategies/pairs-trading-with-country-etfs,ELIGIBLE,ENG-185,pairs-trading-with-country-etfs,Free,Yes,equity long short; pairs trading; arbitrage,Equities,ETFs,Global,Daily,Moderate,Weak,No,20.6,10.0,1.66,-26.67,1996.0,2009.0,1.5,6.575204818822237,0.2281297756240364,-27.172075989305288,2000.0,2025.0,0.0749909042078837,,
#0056,COT Report Predicts Prices of Agricultural Commodities,https://quantpedia.com/strategies/cot-report-predicts-prices-of-agricultural-commodities,INELIGIBLE,ENG-116,cot-report-predicts-prices-of-agricultural-commodities,Premium,Yes,market timing; sentiment trading; alternative data,Commodities,Futures,Global,Weekly,Simple,Moderate,Unknown,54.0,,,-87.23,1993.0,2000.0,0.3,28.419904577035016,0.0105559819592926,-87.46048903031448,2003.0,2025.0,-0.0062389137273007,,
#0057,Term Spread Premium,https://quantpedia.com/strategies/term-spread-premium,ELIGIBLE,ENG-186,term-spread-premium,Premium,Yes,factor investing; smart beta; market timing; term spread; bond timing,Bonds,Futures; Swaps; Bonds,Global,Monthly,Simple,Strong,Yes,10.2,10.0,1.02,0.0,1992.0,2006.0,0.6,0.9476687357324796,0.6331326310308668,-2.041820030749109,2001.0,2025.0,-0.2003653112175545,,
#0058,VIX Predicts Stock Index Returns,https://quantpedia.com/strategies/vix-predicts-stock-index-returns,ELIGIBLE,ENG-187,vix-predicts-stock-index-returns,Prime,Yes,market timing; volatility effect,Equities,ETFs; Funds; Futures; CFDs,United States,Daily,Simple,Moderate,No,15.9,,,-54.76,1994.0,2003.0,0.7,18.793038957861366,0.0372478342416877,-54.75729865058065,2005.0,2025.0,0.6748608802434426,,
#0059,Open Interest in Futures Predicts Commodity Returns,https://quantpedia.com/strategies/open-interest-in-futures-predicts-commodity-returns,INELIGIBLE,ENG-191,open-interest-in-futures-predicts-commodity-returns,Premium,Yes,market timing,Commodities,Futures; CFDs,Global,Monthly,Moderate,Moderate,Unknown,11.9,,,-44.44,1966.0,2008.0,-0.6,6.871021801133539,-0.0873232566226198,-44.464601595528976,2006.0,2025.0,0.1420094805093944,,
#0060,Short Term Trend Following with Small Volatile Stocks,https://quantpedia.com/strategies/short-term-trend-following-with-small-volatile-stocks,ELIGIBLE,ENG-210,short-term-trend-following-with-small-volatile-stocks,Premium,Yes,trend-following; stock picking; momentum in stocks; liquidity risk premium; small cap,Equities,Stocks,United States,Intraday,Very Complex,Moderate,No,23.0,,,,2004.0,2009.0,,,,,,,,,
#0061,Lunar Cycle in Equity Market,https://quantpedia.com/strategies/lunar-cycle-in-equity-market,INELIGIBLE,ENG-192,lunar-cycle-in-equity-market,Prime,Yes,market timing; seasonality; alternative data,Equities,ETFs; Funds; Stocks,Global,Monthly,Simple,Moderate,Partially,10.0,,,-67.31,1973.0,2001.0,-2.4,26.279232643948003,-0.0913268675884533,-72.39713563347787,2004.0,2025.0,-0.0368355492986598,,
#0062,Shorting Overvalued Stocks,https://quantpedia.com/strategies/shorting-overvalued-stocks,ELIGIBLE,ENG-188,shorting-overvalued-stocks,Premium,Yes,stock picking; fundamental analysis; short selling,Equities,Stocks,Global,Yearly,Complex,Strong,Yes,24.8,,,-47.79,1993.0,2004.0,8.9,23.570556527148,0.3775897268165559,-54.70002087889439,2011.0,2025.0,0.81520848224162,,
#0063,Trendfollowing Combined with Volatility Premium,https://quantpedia.com/strategies/trendfollowing-combined-with-volatility-premium,ELIGIBLE,ENG-189,trendfollowing-combined-with-volatility-premium,Premium,Yes,trend-following; market timing; volatility effect; volatility premium,Equities,ETFs; Futures; Options,United States,Daily,Moderate,Strong,No,14.88,14.24,0.75,-11.1,1988.0,2010.0,1.7,4.210815643867365,0.4037222580560802,-11.03651978140131,2015.0,2025.0,0.5541560076097866,,
